HC,frame,u,v,x,y,z
1,1,336,131,0.09738612643866744,0.9293963087721834,0.3578079412378715
1,1,449,282,0.32743287724665204,0.9475683896007666,0.108032940279787
1,1,306,399,0.05412168909994403,0.942800008553434,-0.10598611242594283
1,1,184,251,-0.16940314267134507,0.9244515462387219,0.15770671268232736
1,10,197,45,-0.11295703011909773,0.6845088088714346,0.38121941536766724
1,10,429,170,0.19946806584352725,0.7641250283874574,0.2413108841670438
1,10,318,365,0.06512012616278383,0.8759944177204555,-0.042671862163088305
1,10,115,297,-0.2451933912626445,0.8111466808111465,0.06277201045466775
1,11,214,286,-0.11633944690768236,1.0918976094608959,0.11273393257328707
1,11,337,383,0.15512767404998018,1.1230240982321391,-0.09141670824721163
1,11,248,480,-0.04868880279887384,1.2109661675345225,-0.324172730478125
1,11,133,400,-0.31144263751210677,1.1835835058901367,-0.13609360511802127
1,12,225,289,-0.10139807789798186,1.092478865941186,0.11032368657944897
1,12,343,362,0.15681322577302834,1.2091055694846418,-0.04050159092432115
1,12,269,472,-0.09612022455225043,1.1956395542103833,-0.27553320126586456
1,12,146,419,-0.2750098467663482,1.1147279790134732,-0.1706147271591732
1,13,236,156,-0.06835598083336643,1.0151681333862619,0.3431838855847313
1,13,364,278,0.18410111174817848,1.0130307616505592,0.11451197839426128
1,13,262,383,-0.02209180803776593,1.1621615007469763,-0.10555883917177726
1,13,150,282,-0.26740015885076224,1.1619931397751697,0.12283545279821295
1,2,361,145,0.1455414328397531,0.9044700104714407,0.32719782826627164
1,2,393,335,0.22057622561575158,0.9560515894727322,0.004451970892192465
1,2,214,373,-0.11638304090353739,0.9731133228556973,-0.06118240871456726
1,2,165,185,-0.1953699561739215,0.920913367688299,0.2657795930430291
1,3,359,161,0.16854719156831297,0.9928200586860215,0.32684417580625424
1,3,395,335,0.22771266639585358,0.973140226770331,0.0010216869118286828
1,3,223,370,-0.09628326056252672,0.8899244561874928,-0.05432994645298683
1,3,180,172,-0.1712448850540962,0.9064318599821917,0.2773153415731816
1,4,293,136,0.00995163713500017,0.9749157521663095,0.37302833146895364
1,4,428,260,0.2816145131113889,0.9352322832353847,0.13730444168970804
1,4,299,395,0.03676733482548245,0.9020900428146013,-0.09524220476584672
1,4,157,262,-0.21385692933792946,0.9408429422922272,0.13606340250429438
1,5,261,261,-0.025887092082512088,1.0094463738049926,0.15622067059558797
1,5,380,384,0.21361708771538465,0.976021773454949,-0.08432080379773021
1,5,251,508,-0.050640963272080584,0.9447095221539747,-0.32476910267102926
1,5,128,376,-0.2687303809542456,0.980602795465284,-0.06525261855968872
1,6,320,286,0.06839986015824394,0.8652687367090028,0.10354996336616364
1,6,394,432,0.24467425612875446,0.9863741853580057,-0.18314995760032704
1,6,241,478,-0.07658202540159262,1.09467249454754,-0.2976610235021876
1,6,156,356,-0.224715170257773,0.972753969212427,-0.017723635080469535
1,7,258,82,-0.034352098572761273,0.8058655850423331,0.3971226154225087
1,7,362,271,0.1541328672921968,0.9134873782287106,0.11641859893805197
1,7,211,343,-0.12792713191955085,1.0728520328528672,-0.01364364244355637
1,7,102,197,-0.3051559415974904,0.9727294772553502,0.24845618240278755
